id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5141142,graziosa casa vacanze  zona aurelio,26579481,Pietro,,XIII Aurelia,41.90541,12.42195,Entire home/apt,57,1,96,2019-10-06,1.19,1,331,3,
5142406,"Cosy house in a nice, quiet area",26585599,Fabrizio,,IX Eur,41.78907,12.4317,Entire home/apt,48,1,0,,,1,0,0,
5144035,St. Peter Lovely Apartment,19191518,Stefania,,I Centro Storico,41.90065,12.45558,Entire home/apt,66,2,63,2019-09-18,0.81,1,29,0,
5146741,"Be happy, it's time for your ""VACANZE ROMANE""!!",3042038,Loretta,,X Ostia/Acilia,41.73898,12.26852,Entire home/apt,75,1,44,2021-09-26,0.55,3,262,3,QA/2018/47547
5148218,Gorgeous apartment at Piazza Navona,26197650,Natalia,,I Centro Storico,41.90041,12.46962,Entire home/apt,171,2,92,2021-08-27,1.14,6,307,9,
5148306,DANTE'S HELL ( 1 ),22585657,Flavia,,I Centro Storico,41.90088,12.47549,Hotel room,86,1,257,2021-09-01,3.23,3,337,23,
5149913,Stunning loft near Piazza Navona,26197650,Natalia,,I Centro Storico,41.90011,12.46799,Entire home/apt,240,3,141,2020-08-10,1.78,6,277,0,
5151306,"Room ""Colosseo""",24071917,Giovanni,,XIII Aurelia,41.90112,12.43652,Private room,41,1,1,2015-05-03,0.01,3,365,0,
5151323,Curated Boutique Studio Flat in Updated Building,78287,Frank & Soledad,,I Centro Storico,41.89378,12.50721,Entire home/apt,70,2,306,2021-09-26,3.80,8,338,5,
5155346,Flat with swimming pool in Rome,26332873,Carmen,,III Monte Sacro,41.97743,12.52724,Entire home/apt,55,3,70,2020-03-05,0.89,1,54,0,
5165321,L'incantevole Aventino,24178533,Tiziana,,I Centro Storico,41.88128,12.4871,Entire home/apt,80,2,52,2019-12-31,0.67,2,0,11,CVN-006001-4
5168553,Beautiful apartment at the Pantheon,26197650,Natalia,,I Centro Storico,41.90063,12.4783,Entire home/apt,120,2,164,2021-07-03,2.08,6,327,15,
5168825,Triple room Colosseum,16364744,Giulia,,I Centro Storico,41.88877,12.49638,Hotel room,117,1,2,2016-04-20,0.03,3,103,0,
5169177,House Moro,22369871,Antonio,,I Centro Storico,41.89063,12.47077,Entire home/apt,75,2,129,2021-09-21,1.62,5,343,14,
5169932,aRTiSTiC HoMe! 2 bedrooms 2bathrooms 1 hot tub♡,1530868,Alice & Gabriele,,I Centro Storico,41.90076,12.49048,Entire home/apt,120,1,90,2019-06-28,1.28,6,283,2,
